,pcd,lsoa21,lat,long,oslaua
20271,E3  3TG,E01004248,51.522121,-0.008717,E09000030
20272,E3  3TH,E01004248,51.521698,-0.00973,E09000030
20273,E3  3TJ,E01004248,51.521912,-0.009087,E09000030
20274,E3  3TL,E01004248,51.521876,-0.009088,E09000030
20275,E3  3TN,E01004248,51.521889,-0.008828,E09000030
20276,E3  3TP,E01004248,51.5222,-0.00857,E09000030
20277,E3  3TQ,E01035671,51.521069,-0.017196,E09000030
20278,E3  3TR,E01035671,51.520749,-0.016922,E09000030
20279,E3  3TS,E01035671,51.52086,-0.017075,E09000030
20281,E3  3TU,E01035671,51.521131,-0.017179,E09000030
20282,E3  3TW,E01035671,51.521131,-0.017179,E09000030
20283,E3  3TX,E01035671,51.520476,-0.016688,E09000030
20284,E3  3TY,E01035671,51.520437,-0.01656,E09000030
20285,E3  3TZ,E01035671,51.521102,-0.017036,E09000030
20286,E3  3UA,E01035665,51.52843,-0.011138,E09000030
20287,E3  3UB,E01035665,51.528534,-0.010874,E09000030
20288,E3  3UD,E01035665,51.528387,-0.010722,E09000030
20289,E3  3UE,E01035665,51.528241,-0.010598,E09000030
20290,E3  3UF,E01035665,51.528076,-0.010404,E09000030
20291,E3  3UG,E01035665,51.527973,-0.010682,E09000030
20292,E3  3UH,E01035665,51.527898,-0.011046,E09000030
20293,E3  3UJ,E01035665,51.528081,-0.011254,E09000030
20294,E3  3UL,E01035665,51.528283,-0.011462,E09000030
20295,E3  3UN,E01035665,51.528054,-0.011212,E09000030
20296,E3  3UP,E01035665,51.528065,-0.011341,E09000030
20297,E3  3UQ,E01035667,51.520686,-0.014258,E09000030
20298,E3  3UR,E01035672,51.519096,-0.018089,E09000030
20299,E3  3US,E01035672,51.519396,-0.018263,E09000030
20300,E3  3UT,E01035672,51.519568,-0.018832,E09000030
20301,E3  3UU,E01035672,51.519245,-0.01889,E09000030
20302,E3  3UW,E01035672,51.518945,-0.018701,E09000030
20303,E3  3UX,E01035672,51.51918,-0.018258,E09000030
20304,E3  3UY,E01035672,51.518933,-0.018514,E09000030
20305,E3  3UZ,E01032784,51.530231,-0.02888,E09000030
20306,E3  3WA,E01032784,51.530231,-0.02888,E09000030
20307,E3  3WB,E01032784,51.530231,-0.02888,E09000030
20308,E3  3WD,E01032784,51.530231,-0.02888,E09000030
20309,E3  3WE,E01032784,51.530231,-0.02888,E09000030
20310,E3  3WF,E01032784,51.530231,-0.02888,E09000030
20311,E3  3WG,E01032784,51.530231,-0.02888,E09000030
20313,E3  3WJ,E01032784,51.530231,-0.02888,E09000030
20315,E3  3WN,E01032784,51.530231,-0.02888,E09000030
20316,E3  3WQ,E01032784,51.530231,-0.02888,E09000030
20318,E3  3WS,E01032784,51.530231,-0.02888,E09000030
20319,E3  3WT,E01032784,51.530231,-0.02888,E09000030
20320,E3  3WU,E01032784,51.530231,-0.02888,E09000030
20321,E3  3WW,E01032784,51.530231,-0.02888,E09000030
20323,E3  3WY,E01032784,51.530231,-0.02888,E09000030
20324,E3  3WZ,E01032784,51.530231,-0.02888,E09000030
20325,E3  3XA,E01032784,51.530231,-0.02888,E09000030
20326,E3  3XB,E01032784,51.530231,-0.02888,E09000030
20327,E3  3XD,E01035671,51.521532,-0.017479,E09000030
20328,E3  3XE,E01035671,51.521004,-0.017631,E09000030
20329,E3  3XF,E01032784,51.530231,-0.02888,E09000030
20330,E3  3XG,E01035671,51.520686,-0.017458,E09000030
20331,E3  3XH,E01035671,51.521529,-0.017277,E09000030
20332,E3  3XJ,E01035665,51.528905,-0.011593,E09000030
20333,E3  3XL,E01035665,51.528991,-0.011344,E09000030
20334,E3  3XN,E01035665,51.528796,-0.010963,E09000030
20335,E3  3XP,E01035665,51.529059,-0.011111,E09000030
20336,E3  3XQ,E01035672,51.518161,-0.019657,E09000030
20337,E3  3XS,E01004239,51.522208,-0.017593,E09000030
20338,E3  3XT,E01004239,51.522254,-0.017606,E09000030
20339,E3  3XU,E01035671,51.522048,-0.018191,E09000030
20340,E3  3XX,E01032784,51.530231,-0.02888,E09000030
20341,E3  3XY,E01032784,51.530231,-0.02888,E09000030
20344,E3  3YB,E01035671,51.521956,-0.017532,E09000030
20345,E3  3YD,E01035671,51.521838,-0.018013,E09000030
20346,E3  3YE,E01035666,51.525963,-0.014114,E09000030
20347,E3  3YF,E01004235,51.528046,-0.015538,E09000030
20348,E3  3YG,E01004235,51.528472,-0.015721,E09000030
20349,E3  3YH,E01004248,51.521334,-0.010035,E09000030
20350,E3  3YJ,E01004248,51.521522,-0.009983,E09000030
20351,E3  3YL,E01004248,51.521007,-0.009861,E09000030
20352,E3  3YN,E01004248,51.52134,-0.009328,E09000030
20353,E3  3YP,E01004235,51.528472,-0.015721,E09000030
20354,E3  3YQ,E01035665,51.525666,-0.010956,E09000030
20355,E3  3YR,E01035665,51.5256,-0.010238,E09000030
20356,E3  3YS,E01035665,51.525394,-0.01078,E09000030
20357,E3  3YT,E01035665,51.525394,-0.01078,E09000030
20358,E3  3YU,E01004236,51.524642,-0.014734,E09000030
20359,E3  3YW,E01004239,51.524715,-0.016403,E09000030
20360,E3  3YX,E01004236,51.525274,-0.015384,E09000030
20361,E3  3YY,E01004237,51.527397,-0.017022,E09000030
20362,E3  3YZ,E01032784,51.530231,-0.02888,E09000030
20363,E3  3ZA,E01035665,51.525465,-0.00971,E09000030
20364,E3  3ZB,E01035665,51.525052,-0.010781,E09000030
20365,E3  3ZD,E01035665,51.525195,-0.010183,E09000030
20366,E3  3ZE,E01035665,51.525195,-0.010183,E09000030
20367,E3  3ZF,E01035665,51.525195,-0.010183,E09000030
20368,E3  3ZG,E01035665,51.525329,-0.00963,E09000030
20369,E3  3ZH,E01035671,51.521956,-0.017532,E09000030
20370,E3  3ZJ,E01035672,51.521237,-0.018645,E09000030
20371,E3  3ZL,E01035672,51.518615,-0.017822,E09000030
20372,E3  3ZR,E01004237,51.526734,-0.016647,E09000030
20373,E3  3ZS,E01004236,51.52705,-0.016749,E09000030
20374,E3  3ZT,E01004237,51.526615,-0.016551,E09000030
20375,E3  3ZU,E01004237,51.526533,-0.016987,E09000030
20376,E3  3ZZ,E01004237,51.527397,-0.017022,E09000030
20377,E3  4AA,E01035676,51.518171,-0.030986,E09000030
20378,E3  4AB,E01004267,51.526027,-0.023252,E09000030
20379,E3  4AD,E01004272,51.518207,-0.024009,E09000030
20380,E3  4AE,E01004267,51.526027,-0.023252,E09000030
20381,E3  4AF,E01035676,51.517527,-0.031706,E09000030
20382,E3  4AG,E01035676,51.517444,-0.032142,E09000030
20383,E3  4AH,E01004272,51.517797,-0.026923,E09000030
20384,E3  4AJ,E01004272,51.518096,-0.027011,E09000030
20385,E3  4AL,E01004272,51.517721,-0.027172,E09000030
20386,E3  4AN,E01004272,51.518614,-0.024697,E09000030
20387,E3  4AP,E01004272,51.518422,-0.027689,E09000030
20388,E3  4AQ,E01035683,51.516839,-0.034114,E09000030
20389,E3  4AR,E01035676,51.517146,-0.029373,E09000030
20390,E3  4AS,E01004271,51.519022,-0.0286,E09000030
20391,E3  4AT,E01004271,51.519701,-0.028874,E09000030
20392,E3  4AU,E01004272,51.517541,-0.022899,E09000030
20393,E3  4AW,E01004271,51.519329,-0.028183,E09000030
20394,E3  4AX,E01035673,51.517567,-0.02235,E09000030
20395,E3  4AY,E01035684,51.516621,-0.021151,E09000030
20396,E3  4AZ,E01035677,51.516791,-0.022138,E09000030
20397,E3  4BA,E01004241,51.519276,-0.023414,E09000030
20398,E3  4BB,E01004241,51.519364,-0.022748,E09000030
20399,E3  4BD,E01004241,51.518819,-0.022959,E09000030
20400,E3  4BE,E01004272,51.519406,-0.024202,E09000030
20401,E3  4BF,E01004241,51.519828,-0.023059,E09000030
20402,E3  4BG,E01004271,51.519129,-0.027471,E09000030
20403,E3  4BH,E01004270,51.521032,-0.028369,E09000030
20404,E3  4BJ,E01004271,51.520313,-0.026757,E09000030
20405,E3  4BL,E01004270,51.521375,-0.027922,E09000030
20406,E3  4BN,E01004241,51.521771,-0.025815,E09000030
20407,E3  4BP,E01004241,51.521874,-0.021241,E09000030
20408,E3  4BQ,E01004272,51.518919,-0.027336,E09000030
20409,E3  4BS,E01004240,51.5218,-0.023219,E09000030
20410,E3  4BT,E01004241,51.521319,-0.022951,E09000030
20411,E3  4BU,E01004241,51.521785,-0.019688,E09000030
20412,E3  4BW,E01004240,51.522037,-0.022358,E09000030
20413,E3  4BX,E01004240,51.522091,-0.02077,E09000030
20414,E3  4BY,E01004240,51.522091,-0.02077,E09000030
20415,E3  4BZ,E01004271,51.520016,-0.028903,E09000030
20416,E3  4DA,E01004241,51.5204,-0.023395,E09000030
20417,E3  4DB,E01004241,51.52021,-0.022293,E09000030
20418,E3  4DD,E01035672,51.519416,-0.022125,E09000030
20419,E3  4DE,E01035673,51.518398,-0.022559,E09000030
20420,E3  4DF,E01004271,51.51968,-0.029783,E09000030
20421,E3  4DG,E01032784,51.530231,-0.02888,E09000030
20422,E3  4DH,E01004267,51.527059,-0.024231,E09000030
20423,E3  4DJ,E01004267,51.527138,-0.023535,E09000030
20424,E3  4DL,E01004267,51.527545,-0.02209,E09000030
20425,E3  4DN,E01032784,51.530231,-0.02888,E09000030
20426,E3  4DP,E01004239,51.523403,-0.018551,E09000030
20427,E3  4DQ,E01004237,51.52479,-0.018692,E09000030
20428,E3  4DR,E01004267,51.526554,-0.023604,E09000030
20429,E3  4DS,E01004267,51.527076,-0.020943,E09000030
20430,E3  4DT,E01004267,51.526922,-0.021411,E09000030
20431,E3  4DU,E01004267,51.525758,-0.019573,E09000030
20432,E3  4DW,E01004271,51.519932,-0.030305,E09000030
20433,E3  4DX,E01004267,51.524684,-0.01936,E09000030
20434,E3  4DY,E01004271,51.519891,-0.030019,E09000030
20435,E3  4DZ,E01004271,51.519743,-0.029275,E09000030
20436,E3  4EA,E01004267,51.525283,-0.020199,E09000030
20437,E3  4EB,E01004240,51.523786,-0.019399,E09000030
20438,E3  4ED,E01004239,51.522515,-0.018733,E09000030
20439,E3  4EE,E01004267,51.525411,-0.020871,E09000030
20440,E3  4EF,E01035673,51.5169,-0.021687,E09000030
20441,E3  4EG,E01004240,51.523569,-0.022032,E09000030
20442,E3  4EH,E01004240,51.522903,-0.022003,E09000030
20443,E3  4EJ,E01004240,51.522619,-0.023255,E09000030
20444,E3  4EL,E01004240,51.522092,-0.023509,E09000030
20445,E3  4EN,E01004241,51.52169,-0.022589,E09000030
20446,E3  4EP,E01004240,51.522419,-0.022067,E09000030
20447,E3  4EQ,E01004240,51.522061,-0.023798,E09000030
20448,E3  4ER,E01004240,51.522117,-0.021778,E09000030
20449,E3  4ES,E01004240,51.523136,-0.020854,E09000030
20450,E3  4ET,E01004240,51.522827,-0.020132,E09000030
20451,E3  4EU,E01004241,51.521483,-0.021488,E09000030
20452,E3  4EW,E01004241,51.521925,-0.022089,E09000030
20453,E3  4EX,E01004239,51.521867,-0.019223,E09000030
20454,E3  4EY,E01004240,51.52248,-0.019845,E09000030
20455,E3  4EZ,E01004240,51.523964,-0.021424,E09000030
20456,E3  4FA,E01035673,51.517738,-0.02178,E09000030
20457,E3  4FB,E01004270,51.521791,-0.028063,E09000030
20458,E3  4FD,E01032784,51.530231,-0.02888,E09000030
20459,E3  4FE,E01032784,51.530231,-0.02888,E09000030
20460,E3  4FF,E01035673,51.517017,-0.021148,E09000030
20461,E3  4FG,E01035673,51.517191,-0.021372,E09000030
20462,E3  4FH,E01004270,51.521791,-0.028063,E09000030
20463,E3  4FJ,E01032784,51.530231,-0.02888,E09000030
20464,E3  4FL,E01032784,51.530231,-0.02888,E09000030
20465,E3  4FN,E01004270,51.521791,-0.028063,E09000030
20466,E3  4FP,E01004240,51.523964,-0.021424,E09000030
20467,E3  4FQ,E01035673,51.517421,-0.022198,E09000030
20468,E3  4FR,E01032784,51.530231,-0.02888,E09000030
20469,E3  4FS,E01035673,51.517057,-0.020902,E09000030
20470,E3  4FT,E01004272,51.518648,-0.024595,E09000030
20471,E3  4FU,E01035673,51.517887,-0.022653,E09000030
20472,E3  4FW,E01032784,51.530231,-0.02888,E09000030
20473,E3  4FX,E01035674,51.524037,-0.031137,E09000030
20474,E3  4FY,E01035674,51.524057,-0.032304,E09000030
20475,E3  4FZ,E01035675,51.524652,-0.031874,E09000030
20476,E3  4GA,E01004241,51.51912,-0.022167,E09000030
20477,E3  4GB,E01004241,51.519231,-0.021831,E09000030
20478,E3  4GD,E01004241,51.519664,-0.024032,E09000030
20479,E3  4GF,E01035675,51.524448,-0.033642,E09000030
20480,E3  4GG,E01004270,51.52151,-0.029516,E09000030
20481,E3  4GH,E01004271,51.520681,-0.029408,E09000030
20482,E3  4GJ,E01004272,51.51855,-0.026761,E09000030
20483,E3  4GL,E01004272,51.517985,-0.027377,E09000030
20484,E3  4GN,E01004272,51.518632,-0.026268,E09000030
20485,E3  4GP,E01004272,51.518849,-0.026373,E09000030
20486,E3  4GQ,E01004272,51.519014,-0.027101,E09000030
20487,E3  4GR,E01035676,51.517715,-0.031655,E09000030
20488,E3  4GS,E01035675,51.523496,-0.031031,E09000030
20489,E3  4GT,E01035675,51.523202,-0.032297,E09000030
20490,E3  4GU,E01035675,51.523145,-0.03266,E09000030
20491,E3  4GW,E01004271,51.520811,-0.028581,E09000030
20492,E3  4GX,E01004271,51.520789,-0.028899,E09000030
20493,E3  4GY,E01004271,51.52094,-0.030362,E09000030
20494,E3  4GZ,E01004271,51.520617,-0.029915,E09000030
20495,E3  4HA,E01004240,51.523542,-0.020404,E09000030
20496,E3  4HB,E01004240,51.524179,-0.020304,E09000030
20497,E3  4HD,E01004267,51.525062,-0.020425,E09000030
20498,E3  4HE,E01004240,51.522868,-0.019381,E09000030
20499,E3  4HF,E01004240,51.523818,-0.020796,E09000030
20500,E3  4HG,E01004270,51.520929,-0.032424,E09000030
20501,E3  4HH,E01004270,51.521722,-0.031986,E09000030
20502,E3  4HJ,E01004270,51.521636,-0.031125,E09000030
20503,E3  4HL,E01004270,51.519438,-0.03197,E09000030
20504,E3  4HN,E01004271,51.52095,-0.029367,E09000030
20505,E3  4HP,E01004271,51.520706,-0.028772,E09000030
20506,E3  4HQ,E01004270,51.521356,-0.031065,E09000030
20507,E3  4HR,E01004271,51.520159,-0.028883,E09000030
20508,E3  4HS,E01004270,51.520396,-0.028541,E09000030
20509,E3  4HT,E01004270,51.520633,-0.02817,E09000030
20510,E3  4HU,E01004270,51.520337,-0.028197,E09000030
