pcd,pcd2,pcds,dointr,doterm,oscty,ced,oslaua,osward,parish,usertype,oseast1m,osnrth1m,osgrdind,oshlthau,nhser,ctry,rgn,streg,pcon,eer,teclec,ttwa,pct,itl,statsward,oa01,casward,npark,lsoa01,msoa01,ur01ind,oac01,oa11,lsoa11,msoa11,wz11,sicbl,bua24,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,icb,oa21,lsoa21,msoa21,ruc21
"E9  5ED","E9   5ED","E9 5ED","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536076","0184482","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009220","00AMGU","E65000001","E01001845","E02000366","5","7B1","E00176285","E01001845","E02000366","E33033825","E38000255","E63011969","A1","3A1",51.542839,-0.039108,"E37000051","","E23000001",2027,"E56000028","E54000029","E00183768","E01001845","E02000366","UN1"
"E9  5EE","E9   5EE","E9 5EE","200807","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536675","0184576","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009204","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009204","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3D3",51.543539,-0.030439,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009204","E01001849","E02000362","UN1"
"E9  5EF","E9   5EF","E9 5EF","200806","","E99999999","E99999999","E09000012","E05009379","E43000202","0","537188","0185587","1","E18000007","E40000003","E92000001","E12000007","5","E14001259","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGL","E00008925","00AMGL","E65000001","E01001786","E02000357","5","7B2","E00008925","E01001786","E02000357","E33033776","E38000255","","A1","3A1",51.552500,-0.022652,"E37000051","","E23000001",4889,"E56000028","E54000029","E00183857","E01001786","E02000357","UN1"
"E9  5EG","E9   5EG","E9 5EG","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536572","0184657","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009204","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009204","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3D3",51.544292,-0.031892,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009204","E01001849","E02000362","UN1"
"E9  5EH","E9   5EH","E9 5EH","198001","200908","E99999999","E99999999","E09000012","E05009374","E43000202","0","536970","0184543","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176262","E01001849","E02000362","E33033803","E38000255","E63012023","A1","3B3",51.543172,-0.026201,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176262","E01001849","E02000362","UN1"
"E9  5EJ","E9   5EJ","E9 5EJ","201209","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536710","0184561","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009204","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009204","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3D3",51.543396,-0.029941,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009204","E01001849","E02000362","UN1"
"E9  5EL","E9   5EL","E9 5EL","199405","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536622","0184609","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009204","00AMGU","E65000001","E01001849","E02000362","5","7B1","E00009204","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3D3",51.543849,-0.031190,"E37000051","","E23000001",6227,"E56000028","E54000029","E00009204","E01001849","E02000362","UN1"
"E9  5EN","E9   5EN","E9 5EN","198001","","E99999999","E99999999","E09000030","E05009319","E43000220","0","537185","0184525","1","E18000007","E40000003","E92000001","E12000007","5","E14001525","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFZ","E00021269","00BGFZ","E65000001","E01004224","E02000864","5","7B2","E00167199","E01004224","E02000864","E33036179","E38000255","E63012023","A1","2D3",51.542958,-0.023109,"E37000051","","E23000001",7452,"E56000028","E54000029","E00183766","E01035657","E02000864","UN1"
"E9  5EP","E9   5EP","E9 5EP","198001","201701","E99999999","E99999999","E09000030","E05009319","E43000220","1","536969","0184442","1","E18000007","E40000003","E92000001","E12000007","5","E14001525","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFZ","E00021269","00BGFZ","E65000001","E01004224","E02000864","5","7B2","E00167199","E01004224","E02000864","E33031688","E38000255","E63012023","A1","2D3",51.542264,-0.026254,"E37000051","","E23000001",7452,"E56000028","E54000029","E00183911","E01035657","E02000864","UN1"
"E9  5EQ","E9   5EQ","E9 5EQ","198001","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536779","0184477","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176314","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3B3",51.542625,-0.028979,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176314","E01001849","E02000362","UN1"
"E9  5ER","E9   5ER","E9 5ER","198001","","E99999999","E99999999","E09000030","E05009319","E43000220","1","537059","0184548","1","E18000007","E40000003","E92000001","E12000007","5","E14001525","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFZ","E00021269","00BGFZ","E65000001","E01004224","E02000864","5","7B2","E00167199","E01004224","E02000864","E33036179","E38000255","E63012023","A1","2D3",51.543195,-0.024916,"E37000051","","E23000001",7452,"E56000028","E54000029","E00183766","E01035657","E02000864","UN1"
"E9  5ES","E9   5ES","E9 5ES","200905","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536403","0184770","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009210","00AMGU","E65000001","E01001848","E02000362","5","7B1","E00009210","E01001848","E02000362","E33033800","E38000255","E63011969","A1","3D3",51.545348,-0.034284,"E37000051","","E23000001",4298,"E56000028","E54000029","E00009210","E01001848","E02000362","UN1"
"E9  5ET","E9   5ET","E9 5ET","200806","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536954","0184536","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176262","E01001849","E02000362","E33033803","E38000255","E63012023","A1","3B3",51.543113,-0.026434,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176262","E01001849","E02000362","UN1"
"E9  5EU","E9   5EU","E9 5EU","201305","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536973","0184657","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009211","00AMGU","E65000001","E01001849","E02000362","5","5A1","E00176262","E01001849","E02000362","E33033803","E38000255","E63011969","A1","3B3",51.544195,-0.026113,"E37000051","","E23000001",6227,"E56000028","E54000029","E00176262","E01001849","E02000362","UN1"
"E9  5EW","E9   5EW","E9 5EW","198001","199812","E99999999","E99999999","E09000030","E05009319","E43000220","1","536922","0184444","1","E18000007","E40000003","E92000001","E12000007","5","E14001525","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFZ","E00021269","00BGFZ","E65000001","E01004224","E02000864","5","7B2","E00167199","E01004224","E02000864","E33031688","E38000255","E63012023","A1","2D3",51.542294,-0.026931,"E37000051","","E23000001",7452,"E56000028","E54000029","E00183762","E01035657","E02000864","UN1"
"E9  5EX","E9   5EX","E9 5EX","200905","","E99999999","E99999999","E09000012","E05009374","E43000202","0","535916","0184524","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009215","00AMGU","E65000001","E01001845","E02000366","5","7B2","E00009215","E01001845","E02000366","E33033825","E38000255","E63011969","A1","3B1",51.543255,-0.041398,"E37000051","","E23000001",2027,"E56000028","E54000029","E00009215","E01001845","E02000366","UN1"
"E9  5EY","E9   5EY","E9 5EY","201012","","E99999999","E99999999","E09000012","E05009374","E43000202","0","536355","0184711","1","E18000007","E40000003","E92000001","E12000007","5","E14001260","E15000007","E24000015","E30000234","E16000010","E09000012","00AMGU","E00009210","00AMGU","E65000001","E01001848","E02000362","5","7B1","E00009210","E01001848","E02000362","E33033800","E38000255","E63011969","A1","3D3",51.544830,-0.034999,"E37000051","","E23000001",4298,"E56000028","E54000029","E00009210","E01001848","E02000362","UN1"
"E9  5EZ","E9   5EZ","E9 5EZ","200106","200806","E99999999","E99999999","E09000030","E05009331","E43000220","1","534630","0183318","1","E18000007","E40000003","E92000001","E12000007","5","E14001086","E15000007","E24000015","E30000234","E16000011","E09000030","00BGFW","E00021144","00BGFW","E65000001","E01004202","E02000868","5","7B1","E00167245","E01004202","E02000868","E33036199","E38000255","E63012023","A1","3B2",51.532726,-0.060392,"E37000051","","E23000001",10499,"E56000028","E54000029","E00167245","E01004202","E02000868","UN1"
